TOTAL_MATCHES=1472 FILES_SCANNED=626
rel_path:line [pattern] class::func | code
mercury_ai/operations/m5_sprint62/live_session62.py: 312 [clock var             ] Sprint62LiveSession::run | # All target <= clock check §3 §15
mercury_ai/operations/m5_sprint62/live_session62.py: 481 [datetime.now          ] Sprint62LiveSession::write_artifacts | ts = datetime.now(timezone.utc).strftime("%Y%m%d%H%M%S")
mercury_ai/operations/m5_sprint63/fault_harness.py:  20 [import time           ] -::- | import time
mercury_ai/operations/m5_sprint63/fault_harness.py:  26 [timezone              ] -::- | from datetime import datetime, timezone, timedelta
mercury_ai/operations/m5_sprint63/fault_harness.py:  56 [datetime.now          ] -::_now_iso | return datetime.now(timezone.utc).isoformat()
mercury_ai/operations/m5_sprint63/fault_harness.py:  62 [datetime.fromisoformat] -::_make_incident | det = datetime.fromisoformat(detection_time.replace("Z", "+00:00"))
mercury_ai/operations/m5_sprint63/fault_harness.py:  63 [datetime.fromisoformat] -::_make_incident | comp = datetime.fromisoformat(recovery_complete.replace("Z", "+00:00"))
mercury_ai/operations/m5_sprint63/fault_harness.py: 102 [datetime.now          ] -::run_data_provider_failure | target = floor_m5(datetime.now(timezone.utc))
mercury_ai/operations/m5_sprint63/fault_harness.py: 114 [isoformat             ] -::run_data_provider_failure | inc = _make_incident("DATA_PROVIDER_FAILURE", cid, target.isoformat(), target_sym,
mercury_ai/operations/m5_sprint63/fault_harness.py: 146 [datetime.now          ] -::run_worker_crash | target = floor_m5(datetime.now(timezone.utc))
mercury_ai/operations/m5_sprint63/fault_harness.py: 149 [time.perf_counter     ] -::run_worker_crash | t0 = time.perf_counter()
mercury_ai/operations/m5_sprint63/fault_harness.py: 152 [time.perf_counter     ] -::run_worker_crash | recovery_time = time.perf_counter() - t0
mercury_ai/operations/m5_sprint63/fault_harness.py: 160 [isoformat             ] -::run_worker_crash | inc = _make_incident("WORKER_CRASH", cid, target.isoformat(), target_sym,
mercury_ai/operations/m5_sprint63/fault_harness.py: 191 [time.sleep            ] -::slow | time.sleep(0.6)
mercury_ai/operations/m5_sprint63/fault_harness.py: 200 [datetime.now          ] -::run_timeout_test | target = floor_m5(datetime.now(timezone.utc))
mercury_ai/operations/m5_sprint63/fault_harness.py: 207 [isoformat             ] -::run_timeout_test | inc = _make_incident("WORKER_TIMEOUT", cid, target.isoformat(), target_sym,
mercury_ai/operations/m5_sprint63/fault_harness.py: 237 [datetime.now          ] -::run_per_asset_isolation | target = floor_m5(datetime.now(timezone.utc))
mercury_ai/operations/m5_sprint63/fault_harness.py: 249 [isoformat             ] -::run_per_asset_isolation | inc = _make_incident("PER_ASSET_EXCEPTION", cid, target.isoformat(), failing_sym,
mercury_ai/operations/m5_sprint63/fault_harness.py: 268 [datetime.now          ] -::run_queue_pressure | target = floor_m5(datetime.now(timezone.utc))
mercury_ai/operations/m5_sprint63/fault_harness.py: 275 [isoformat             ] -::run_queue_pressure | inc = _make_incident("QUEUE_PRESSURE", cid, target.isoformat(), syms[0],
mercury_ai/operations/m5_sprint63/fault_harness.py: 293 [time.monotonic        ] -::run_watchdog_stall | t0 = time.monotonic()
mercury_ai/operations/m5_sprint63/fault_harness.py: 296 [time.sleep            ] -::run_watchdog_stall | time.sleep(stall_threshold_s + 0.25)
mercury_ai/operations/m5_sprint63/fault_harness.py: 298 [time.sleep            ] -::run_watchdog_stall | time.sleep(0.15)
mercury_ai/operations/m5_sprint63/fault_harness.py: 302 [time.monotonic        ] -::run_watchdog_stall | recovery_time = time.monotonic() - t0
mercury_ai/operations/m5_sprint63/fault_harness.py: 305 [datetime.now          ] -::run_watchdog_stall | inc = _make_incident("WATCHDOG_STALL", cid, floor_m5(datetime.now(timezone.utc)).isoformat(), "WATCHDOG",
mercury_ai/operations/m5_sprint63/fault_harness.py: 321 [datetime.now          ] -::run_graceful_shutdown | target = floor_m5(datetime.now(timezone.utc))
mercury_ai/operations/m5_sprint63/fault_harness.py: 330 [time.sleep            ] -::run_graceful_shutdown | time.sleep(0.35)
mercury_ai/operations/m5_sprint63/fault_harness.py: 339 [isoformat             ] -::run_graceful_shutdown | inc = _make_incident(f"GRACEFUL_{signal_name}", cid, target.isoformat(), signal_name,
mercury_ai/operations/m5_sprint63/fault_harness.py: 354 [clock var             ] -::run_restart_integrity | from mercury_ai.operations.m5_operational.clock import M5Clock
mercury_ai/operations/m5_sprint63/fault_harness.py: 356 [clock var             ] -::run_restart_integrity | clock = M5Clock(runner=runner, config=cfg)
mercury_ai/operations/m5_sprint63/fault_harness.py: 358 [clock var             ] -::run_restart_integrity | r1 = clock.run_cycles_blocking(count=2)
mercury_ai/operations/m5_sprint63/fault_harness.py: 362 [datetime.fromisoformat] -::run_restart_integrity | prev_dt = datetime.fromisoformat(str(previous_target).replace("Z", "+00:00"))
mercury_ai/operations/m5_sprint63/fault_harness.py: 363 [clock var             ] -::run_restart_integrity | # Simulate restart: new runner/clock, should continue from next candle
mercury_ai/operations/m5_sprint63/fault_harness.py: 364 [timedelta             ] -::run_restart_integrity | expected_next = floor_m5(prev_dt + timedelta(minutes=5))
mercury_ai/operations/m5_sprint63/fault_harness.py: 372 [isoformat             ] -::run_restart_integrity | no_dup = previous_target != next_target and next_target == expected_next.isoformat()
mercury_ai/operations/m5_sprint63/fault_harness.py: 375 [isoformat             ] -::run_restart_integrity | inc = _make_incident("RESTART_INTEGRITY", r2[0].get("cycle_id", "restart") if r2 else "restart", expected_next.isoformat(), "RESTART",
mercury_ai/operations/m5_sprint63/live_session63.py:  10 [import time           ] -::- | import time, uuid, json
mercury_ai/operations/m5_sprint63/live_session63.py:  13 [timezone              ] -::- | from datetime import datetime, timezone, timedelta
mercury_ai/operations/m5_sprint63/live_session63.py:  18 [clock var             ] -::- | from mercury_ai.operations.m5_operational.clock import M5Clock
mercury_ai/operations/m5_sprint63/live_session63.py:  83 [datetime.now          ] Sprint63LiveSession::run | self.start_wall = datetime.now(timezone.utc).isoformat()
mercury_ai/operations/m5_sprint63/live_session63.py:  89 [time.perf_counter     ] Sprint63LiveSession::run | session_start_perf = time.perf_counter()
mercury_ai/operations/m5_sprint63/live_session63.py:  95 [datetime.now          ] Sprint63LiveSession::run | now_probe = datetime.now(timezone.utc)
mercury_ai/operations/m5_sprint63/live_session63.py: 102 [time.sleep            ] Sprint63LiveSession::run | time.sleep(sleep_for)
mercury_ai/operations/m5_sprint63/live_session63.py: 104 [datetime.now          ] Sprint63LiveSession::run | clock_now_at_start = datetime.now(timezone.utc)
mercury_ai/operations/m5_sprint63/live_session63.py: 109 [isoformat             ] Sprint63LiveSession::run | self.alerts.emit("CLOCK_INTEGRITY_FAIL", "CRITICAL", f"cycle-{idx}", f"CLOCK_INTEGRITY_FAIL target {target_dt.isoformat()} > clock_now {clock_now_at_start.isoformat()} delta {delta:.3f}s")
mercury_ai/operations/m5_sprint63/live_session63.py: 116 [time.sleep            ] Sprint63LiveSession::run | time.sleep(wait_s)
mercury_ai/operations/m5_sprint63/live_session63.py: 117 [datetime.now          ] Sprint63LiveSession::run | clock_now_at_start = datetime.now(timezone.utc)
mercury_ai/operations/m5_sprint63/live_session63.py: 129 [datetime.fromisoformat] Sprint63LiveSession::run | cs_dt = datetime.fromisoformat(str(r.get("cycle_start")).replace("Z", "+00:00"))
mercury_ai/operations/m5_sprint63/live_session63.py: 133 [timedelta             ] Sprint63LiveSession::run | decision_ready_dt = (cs_dt + timedelta(milliseconds=float(first_fresh_ms))) if first_fresh_ms is not None else None
mercury_ai/operations/m5_sprint63/live_session63.py: 134 [timedelta             ] Sprint63LiveSession::run | first_fresh_dt = (cs_dt + timedelta(milliseconds=float(first_fresh_ms))) if first_fresh_ms is not None else None
mercury_ai/operations/m5_sprint63/live_session63.py: 135 [timedelta             ] Sprint63LiveSession::run | first_top3_dt = (cs_dt + timedelta(milliseconds=float(r.get("first_top3_ms")))) if r.get("first_top3_ms") is not None else None
mercury_ai/operations/m5_sprint63/live_session63.py: 137 [datetime.fromisoformat] Sprint63LiveSession::run | ce_dt = datetime.fromisoformat(str(r.get("cycle_end")).replace("Z", "+00:00")) if r.get("cycle_end") else None
mercury_ai/operations/m5_sprint63/live_session63.py: 141 [timedelta             ] Sprint63LiveSession::run | next_start_dt = target_dt + timedelta(minutes=5)
mercury_ai/operations/m5_sprint63/live_session63.py: 155 [clock var             ] Sprint63LiveSession::run | self.alerts.emit("CLOCK_INTEGRITY_FAIL", "CRITICAL", cycle_id, f"target_is_future but PASS — integrity bug target {gate_rep.target_candle} clock {gate_rep.clock_now_at_cycle_start}")
mercury_ai/operations/m5_sprint63/live_session63.py: 176 [isoformat             ] Sprint63LiveSession::run | "cycle_start": cycle_start_dt.isoformat() if cycle_start_dt else r.get("cycle_start"),
mercury_ai/operations/m5_sprint63/live_session63.py: 177 [isoformat             ] Sprint63LiveSession::run | "first_fresh_decision": first_fresh_dt.isoformat() if first_fresh_dt else None,
mercury_ai/operations/m5_sprint63/live_session63.py: 178 [isoformat             ] Sprint63LiveSession::run | "first_top3": first_top3_dt.isoformat() if first_top3_dt else None,
mercury_ai/operations/m5_sprint63/live_session63.py: 181 [isoformat             ] Sprint63LiveSession::run | "cycle_complete": ce_dt.isoformat() if ce_dt else r.get("cycle_end"),
mercury_ai/operations/m5_sprint63/live_session63.py: 196 [datetime.now          ] Sprint63LiveSession::run | self.end_wall = datetime.now(timezone.utc).isoformat()
mercury_ai/operations/m5_sprint63/live_session63.py: 198 [time.perf_counter     ] Sprint63LiveSession::run | session_wall_s = time.perf_counter() - session_start_perf
mercury_ai/operations/m5_sprint64/artifact.py:   8 [timezone              ] -::- | from datetime import datetime, timezone
mercury_ai/operations/m5_sprint64/artifact.py:  23 [datetime.now          ] -::_now_iso | return datetime.now(timezone.utc).isoformat()
mercury_ai/operations/m5_sprint64/audit.py:   8 [timezone              ] -::- | from datetime import datetime, timezone
mercury_ai/operations/m5_sprint64/audit.py:  17 [datetime.now          ] -::_now_iso | return datetime.now(timezone.utc).isoformat()
mercury_ai/operations/m5_sprint64/audit.py: 112 [timedelta             ] AuditRecord::from_cycle_report | from datetime import timedelta
mercury_ai/operations/m5_sprint64/audit.py: 113 [datetime.fromisoformat] AuditRecord::from_cycle_report | tdt = datetime.fromisoformat(str(target).replace("Z", "+00:00")) if target else None
mercury_ai/operations/m5_sprint64/audit.py: 114 [timedelta             ] AuditRecord::from_cycle_report | next_start = (tdt + timedelta(minutes=5)).isoformat() if tdt else None
mercury_ai/operations/m5_sprint64/events.py:   5 [timezone              ] -::- | from datetime import datetime, timezone
mercury_ai/operations/m5_sprint64/events.py:  74 [datetime.now          ] ObservabilityEvent::new | timestamp=datetime.now(timezone.utc).isoformat(),
mercury_ai/operations/m5_sprint64/live_session64.py:  10 [import time           ] -::- | import time, uuid, json, hashlib, tempfile, os
mercury_ai/operations/m5_sprint64/live_session64.py:  13 [timezone              ] -::- | from datetime import datetime, timezone, timedelta
mercury_ai/operations/m5_sprint64/live_session64.py: 104 [datetime.now          ] Sprint64LiveSession::run | self.start_wall = datetime.now(timezone.utc).isoformat()
mercury_ai/operations/m5_sprint64/live_session64.py: 116 [time.perf_counter     ] Sprint64LiveSession::run | session_start_perf = time.perf_counter()
mercury_ai/operations/m5_sprint64/live_session64.py: 122 [datetime.now          ] Sprint64LiveSession::run | now_probe = datetime.now(timezone.utc)
mercury_ai/operations/m5_sprint64/live_session64.py: 129 [time.sleep            ] Sprint64LiveSession::run | time.sleep(sleep_for)
mercury_ai/operations/m5_sprint64/live_session64.py: 131 [datetime.now          ] Sprint64LiveSession::run | clock_now_at_start = datetime.now(timezone.utc)
mercury_ai/operations/m5_sprint64/live_session64.py: 136 [isoformat             ] Sprint64LiveSession::run | self.alerts.emit("CLOCK_INTEGRITY_FAIL", "CRITICAL", f"cycle-{idx}", f"CLOCK_INTEGRITY_FAIL target {target_dt.isoformat()} > clock_now {clock_now_at_start.isoformat()} delta {delta:.3f}s")
mercury_ai/operations/m5_sprint64/live_session64.py: 143 [time.sleep            ] Sprint64LiveSession::run | time.sleep(wait_s)
mercury_ai/operations/m5_sprint64/live_session64.py: 144 [datetime.now          ] Sprint64LiveSession::run | clock_now_at_start = datetime.now(timezone.utc)
mercury_ai/operations/m5_sprint64/live_session64.py: 149 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("CYCLE_START", self.session_id, cycle_id, target_dt.isoformat()))
mercury_ai/operations/m5_sprint64/live_session64.py: 150 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("TARGET_SELECTED", self.session_id, cycle_id, target_dt.isoformat()))
mercury_ai/operations/m5_sprint64/live_session64.py: 151 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("DATA_START", self.session_id, cycle_id, target_dt.isoformat()))
mercury_ai/operations/m5_sprint64/live_session64.py: 152 [isoformat             ] Sprint64LiveSession::run | clock_start_iso = clock_now_at_start.isoformat()
mercury_ai/operations/m5_sprint64/live_session64.py: 161 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("DATA_TIMEOUT", self.session_id, cycle_id, target_dt.isoformat(), asset=sym))
mercury_ai/operations/m5_sprint64/live_session64.py: 163 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("DATA_UNAVAILABLE", self.session_id, cycle_id, target_dt.isoformat(), asset=sym))
mercury_ai/operations/m5_sprint64/live_session64.py: 165 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("DATA_ERROR", self.session_id, cycle_id, target_dt.isoformat(), asset=sym))
mercury_ai/operations/m5_sprint64/live_session64.py: 167 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("DATA_COMPLETE", self.session_id, cycle_id, target_dt.isoformat(), asset=sym))
mercury_ai/operations/m5_sprint64/live_session64.py: 169 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("WORKER_COMPLETE", self.session_id, cycle_id, target_dt.isoformat(), asset=sym, worker_id=rec.get("worker_id") or "worker"))
mercury_ai/operations/m5_sprint64/live_session64.py: 171 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("QUEUE_PRESSURE", self.session_id, cycle_id, target_dt.isoformat(), details={"queue_max_depth": r.get("queue_max_depth"), "queue_maxsize": r.get("queue_maxsize")}))
mercury_ai/operations/m5_sprint64/live_session64.py: 175 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new(et, self.session_id, cycle_id, target_dt.isoformat(), details=wd))
mercury_ai/operations/m5_sprint64/live_session64.py: 176 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("ANALYSIS_COMPLETE", self.session_id, cycle_id, target_dt.isoformat()))
mercury_ai/operations/m5_sprint64/live_session64.py: 177 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("RANKING_COMPLETE", self.session_id, cycle_id, target_dt.isoformat()))
mercury_ai/operations/m5_sprint64/live_session64.py: 179 [datetime.fromisoformat] Sprint64LiveSession::run | cs_dt = datetime.fromisoformat(str(r.get("cycle_start")).replace("Z", "+00:00"))
mercury_ai/operations/m5_sprint64/live_session64.py: 183 [datetime.fromisoformat] Sprint64LiveSession::run | ce_dt = datetime.fromisoformat(str(r.get("cycle_end")).replace("Z", "+00:00")) if r.get("cycle_end") else None
mercury_ai/operations/m5_sprint64/live_session64.py: 187 [timedelta             ] Sprint64LiveSession::run | decision_ready_dt = (cs_dt + timedelta(milliseconds=float(first_fresh_ms))) if first_fresh_ms is not None else None
mercury_ai/operations/m5_sprint64/live_session64.py: 188 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("DECISION_READY", self.session_id, cycle_id, target_dt.isoformat(), details={"decision_ready": decision_ready_dt.isoformat() if decision_ready_dt else None}))
mercury_ai/operations/m5_sprint64/live_session64.py: 189 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("DECISION_EMITTED", self.session_id, cycle_id, target_dt.isoformat(), details={"decision_ready": decision_ready_dt.isoformat() if decision_ready_dt else None}))
mercury_ai/operations/m5_sprint64/live_session64.py: 203 [isoformat             ] Sprint64LiveSession::run | "cycle_start": cs_dt.isoformat() if cs_dt else r.get("cycle_start"),
mercury_ai/operations/m5_sprint64/live_session64.py: 204 [timedelta             ] Sprint64LiveSession::run | "first_fresh_decision": (cs_dt + timedelta(milliseconds=float(first_fresh_ms))).isoformat() if first_fresh_ms is not None else None,
mercury_ai/operations/m5_sprint64/live_session64.py: 207 [isoformat             ] Sprint64LiveSession::run | "cycle_complete": ce_dt.isoformat() if ce_dt else r.get("cycle_end"),
mercury_ai/operations/m5_sprint64/live_session64.py: 220 [time.perf_counter     ] Sprint64LiveSession::run | t0 = time.perf_counter()
mercury_ai/operations/m5_sprint64/live_session64.py: 222 [time.perf_counter     ] Sprint64LiveSession::run | t1 = time.perf_counter()
mercury_ai/operations/m5_sprint64/live_session64.py: 225 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("AUDIT_COLLISION", self.session_id, cycle_id, target_dt.isoformat(), details=wr))
mercury_ai/operations/m5_sprint64/live_session64.py: 230 [isoformat             ] Sprint64LiveSession::run | self.event_stream.emit(ObservabilityEvent.new("ARTIFACT_WRITTEN", self.session_id, cycle_id, target_dt.isoformat(), details={"artifact": f"cycle_audit/{cycle_id}.json"}))
mercury_ai/operations/m5_sprint64/live_session64.py: 233 [datetime.now          ] Sprint64LiveSession::run | self.end_wall = datetime.now(timezone.utc).isoformat()
mercury_ai/operations/m5_sprint64/live_session64.py: 255 [clock var             ] Sprint64LiveSession::run | # aggregate live clock
mercury_ai/operations/m5_sprint64/live_session64.py: 278 [time.perf_counter     ] Sprint64LiveSession::run | t0 = time.perf_counter()
mercury_ai/operations/m5_sprint64/live_session64.py: 280 [time.perf_counter     ] Sprint64LiveSession::run | t1 = time.perf_counter()
mercury_ai/operations/m5_sprint64/live_session64.py: 294 [time.perf_counter     ] Sprint64LiveSession::run | "session_wall_s": time.perf_counter() - session_start_perf,
mercury_ai/providers/future_tradingview_provider.py:  20 [import time           ] -::- | import time
mercury_ai/providers/future_tradingview_provider.py:  79 [time.monotonic        ] _CacheEntry::__init__ | self.expires_at = time.monotonic() + ttl_seconds
mercury_ai/providers/future_tradingview_provider.py:  82 [time.monotonic        ] _CacheEntry::is_valid | return time.monotonic() < self.expires_at
mercury_ai/providers/future_tradingview_provider.py: 231 [time.sleep            ] FutureTradingViewProvider::_fetch_with_retry | time.sleep(wait)
mercury_ai/providers/market_provider.py:   3 [import time           ] -::- | import time
mercury_ai/providers/market_provider.py: 195 [time.time             ] MercuryDataProvider::get_candles | start = time.time()
mercury_ai/providers/market_provider.py: 199 [time.time             ] MercuryDataProvider::get_candles | elapsed = time.time() - start
mercury_ai/providers/market_provider.py: 217 [time.sleep            ] MercuryDataProvider::get_candles | time.sleep(0.5)
mercury_ai/providers/market_provider.py: 225 [time.sleep            ] MercuryDataProvider::get_candles | time.sleep(0.5)
mercury_ai/providers/yahoo_finance_provider.py:   2 [import time           ] -::- | import time
mercury_ai/providers/yahoo_finance_provider.py:   4 [timedelta             ] -::- | from datetime import datetime, timedelta
mercury_ai/providers/yahoo_finance_provider.py:  30 [time.monotonic        ] _CacheEntry::__init__ | self.expires_at = time.monotonic() + ttl_seconds
mercury_ai/providers/yahoo_finance_provider.py:  33 [time.monotonic        ] _CacheEntry::is_valid | return time.monotonic() < self.expires_at
mercury_ai/providers/yahoo_finance_provider.py: 114 [time.sleep            ] YahooFinanceProvider::_fetch_with_retry | time.sleep(wait)
mercury_ai/sessions/market_sessions.py:   1 [import datetime       ] -::- | from datetime import datetime
mercury_ai/sessions/market_sessions.py:   9 [datetime.utcnow       ] MarketSessions::get_current_session | hour = datetime.utcnow().hour
mercury_ai/sessions/market_sessions.py:  27 [datetime.utcnow       ] MarketSessions::is_high_liquidity | hour = datetime.utcnow().hour
mercury_ai/sessions/tests/test_market_sessions.py:   1 [market_sessions       ] -::- | from mercury_ai.sessions.market_sessions import MarketSessions
mercury_ai/utils/atomic_io.py:  20 [import time           ] -::- | import time
mercury_ai/utils/atomic_io.py: 161 [time.sleep            ] -::atomic_json_write | time.sleep(backoff_base * (2 ** attempt))
mercury_ai/utils/deterministic_clock.py:   2 [timezone              ] -::- | from datetime import datetime, timezone
mercury_ai/utils/deterministic_clock.py:   6 [DeterministicClock    ] DeterministicClock::- | class DeterministicClock:
mercury_ai/utils/deterministic_clock.py:  51 [datetime.now          ] DeterministicClock::utcnow | return datetime.now(timezone.utc).replace(tzinfo=None)
mercury_ai/utils/performance_collector.py:   1 [import time           ] -::- | import time
mercury_ai/utils/performance_collector.py:  37 [time.perf_counter     ] PerformanceCollector::stage | builder.start_time = time.perf_counter()
mercury_ai/utils/performance_collector.py:  42 [time.perf_counter     ] PerformanceCollector::stage | builder.end_time = time.perf_counter()
mercury_ai/utils/report_generator.py:   5 [import datetime       ] -::- | import datetime
mercury_ai/utils/report_generator.py:  16 [datetime.now          ] BenchmarkReportGenerator::__init__ | "timestamp": datetime.datetime.now().isoformat()
mercury_ai/utils/stress_tester.py:   1 [import time           ] -::- | import time
mercury_ai/utils/stress_tester.py:  30 [time.perf_counter     ] StressTester::run | start_time = time.perf_counter()
mercury_ai/utils/stress_tester.py:  38 [time.perf_counter     ] StressTester::run | end_time = time.perf_counter()
performance_benchmarking.py:  28 [import time           ] -::- | import time
performance_benchmarking.py:  55 [time.perf_counter     ] -::PipelineStageTimer | start = time.perf_counter()
performance_benchmarking.py:  60 [time.perf_counter     ] -::PipelineStageTimer | timer.duration = time.perf_counter() - start
performance_benchmarking.py: 102 [time.perf_counter     ] -::benchmark_pipeline | start = time.perf_counter()
performance_benchmarking.py: 109 [time.perf_counter     ] -::benchmark_pipeline | total_time = time.perf_counter() - start
run_decision_scenarios.py:  24 [import datetime       ] -::- | from datetime import datetime
run_decision_scenarios.py:  40 [DeterministicClock    ] -::- | from mercury_ai.utils.deterministic_clock import DeterministicClock
run_decision_scenarios.py: 325 [import time           ] DecisionScenarioTester::_run_scenario | import time
run_decision_scenarios.py: 327 [time.perf_counter     ] DecisionScenarioTester::_run_scenario | start_time = time.perf_counter()
run_decision_scenarios.py: 410 [time.perf_counter     ] DecisionScenarioTester::_run_scenario | execution_time = (time.perf_counter() - start_time) * 1000
run_decision_scenarios.py: 626 [datetime.now          ] DecisionScenarioTester::generate_certification_report | timestamp = datetime.now().strftime("%Y-%m-%d %H:%M:%S")
run_decision_scenarios.py: 781 [datetime.now          ] DecisionScenarioTester::generate_coverage_report | timestamp = datetime.now().strftime("%Y-%m-%d %H:%M:%S")
run_decision_scenarios.py:1009 [datetime.now          ] DecisionScenarioTester::save_results | timestamp = datetime.now().strftime("%Y%m%d_%H%M%S")
run_determinism_test.py:  25 [import datetime       ] -::- | from datetime import datetime
run_determinism_test.py:  38 [DeterministicClock    ] -::- | from mercury_ai.utils.deterministic_clock import DeterministicClock
run_determinism_test.py: 270 [datetime.now          ] DeterminismTester::generate_report | timestamp = datetime.now().strftime("%Y-%m-%d %H:%M:%S")
run_determinism_test.py: 394 [DeterministicClock    ] DeterminismTester::generate_report | 5. **Deterministic Clock**: Uses `DeterministicClock` for all timestamps
run_determinism_test.py: 451 [datetime.now          ] DeterminismTester::save_results | results_file = output_dir / f"determinism_results_{self.symbol}_{datetime.now().strftime('%Y%m%d_%H%M%S')}.json"
run_institutional_replay.py:   3 [import datetime       ] -::- | from datetime import datetime
run_institutional_replay.py:  36 [datetime.now          ] -::generate_performance_report | lines.append(f"  Data: {datetime.now().strftime('%Y-%m-%d %H:%M:%S')}")
run_instrumented.py:   7 [pd.to_datetime        ] MockProvider::get_data | return pd.DataFrame({'Open': [10], 'High': [11], 'Low': [9], 'Close': [10], 'Volume': [10]}, index=pd.to_datetime(['2025-01-01']))
S32-E3-FORENSIC/child_script.py:  16 [import time           ] -::- | import time
S32-E3-FORENSIC/child_script.py:  61 [time.monotonic        ] -::main | "timestamp": time.monotonic()
S32-E3-FORENSIC/child_script.py:  76 [time.monotonic        ] -::main | "timestamp": time.monotonic()
S32-E3-FORENSIC/child_script.py:  93 [time.monotonic        ] -::main | "timestamp": time.monotonic()
S32-E3-FORENSIC/child_script.py: 105 [time.monotonic        ] -::main | "timestamp": time.monotonic()
S32-E3-FORENSIC/child_script.py: 117 [time.monotonic        ] -::main | "timestamp": time.monotonic()
S32-E3-FORENSIC/child_script.py: 131 [time.monotonic        ] -::main | "timestamp": time.monotonic()
S32-E3-FORENSIC/child_script.py: 144 [time.monotonic        ] -::main | "timestamp": time.monotonic()
S32-E3-FORENSIC/child_script.py: 156 [time.monotonic        ] -::main | "timestamp": time.monotonic()
S32-E3-FORENSIC/child_script.py: 172 [time.monotonic        ] -::main | "timestamp": time.monotonic()
S32-E3-FORENSIC/debug_forensic.py:  10 [import time           ] -::- | import time
S32-E3-FORENSIC/debug_forensic.py: 112 [time.monotonic        ] -::run_g_cycle_debug | result["timestamps"]["t_start"] = time.monotonic()
S32-E3-FORENSIC/debug_forensic.py: 128 [time.monotonic        ] -::run_g_cycle_debug | result["timestamps"]["t_ready"] = time.monotonic()
S32-E3-FORENSIC/debug_forensic.py: 136 [time.monotonic        ] -::run_g_cycle_debug | result["timestamps"]["t_go"] = time.monotonic()
S32-E3-FORENSIC/debug_forensic.py: 152 [time.monotonic        ] -::run_g_cycle_debug | result["timestamps"]["t_replace_done"] = time.monotonic()
S32-E3-FORENSIC/debug_forensic.py: 161 [time.monotonic        ] -::run_g_cycle_debug | result["timestamps"]["t_target_confirmed"] = time.monotonic()
S32-E3-FORENSIC/debug_forensic.py: 197 [time.monotonic        ] -::run_g_cycle_debug | result["timestamps"]["t_kill"] = time.monotonic()
S32-E3-FORENSIC/debug_forensic.py: 204 [time.monotonic        ] -::run_g_cycle_debug | result["timestamps"]["t_ack"] = time.monotonic()
S32-E3-FORENSIC/debug_forensic.py: 209 [time.monotonic        ] -::run_g_cycle_debug | result["timestamps"]["t_kill"] = time.monotonic()
S32-E3-FORENSIC/debug_forensic.py: 254 [datetime.now          ] -::run_forensic_execution_debug | print(f"Date: {__import__('datetime').datetime.now().strftime('%Y-%m-%d')}")
S32-E3-FORENSIC/generate_audit_report.py:   5 [import datetime       ] -::- | from datetime import datetime
S32-E3-FORENSIC/generate_audit_report.py: 147 [datetime.now          ] -::- | report_lines.append(f"Date: {datetime.now().strftime('%Y-%m-%d %H:%M:%S')}")
S32-E3-FORENSIC/s32_e3_forensic_execution.py:  26 [import time           ] -::- | import time
S32-E3-FORENSIC/s32_e3_forensic_execution.py: 168 [time.monotonic        ] -::run_g_cycle | result["timestamps"]["t_start"] = time.monotonic()
S32-E3-FORENSIC/s32_e3_forensic_execution.py: 177 [time.monotonic        ] -::run_g_cycle | result["timestamps"]["t_ready"] = time.monotonic()
S32-E3-FORENSIC/s32_e3_forensic_execution.py: 196 [time.monotonic        ] -::run_g_cycle | result["timestamps"]["t_go"] = time.monotonic()
S32-E3-FORENSIC/s32_e3_forensic_execution.py: 208 [time.monotonic        ] -::run_g_cycle | result["timestamps"]["t_replace_done"] = time.monotonic()
S32-E3-FORENSIC/s32_e3_forensic_execution.py: 248 [time.monotonic        ] -::run_g_cycle | result["timestamps"]["t_target_confirmed"] = time.monotonic()
S32-E3-FORENSIC/s32_e3_forensic_execution.py: 261 [time.monotonic        ] -::run_g_cycle | result["timestamps"]["t_kill"] = time.monotonic()
S32-E3-FORENSIC/s32_e3_forensic_execution.py: 264 [time.monotonic        ] -::run_g_cycle | result["timestamps"]["t_kill"] = time.monotonic()
